,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-17 17:28:00.312500000,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2309.7899999999995,60,,,,30,3,2020,10,4,2020,31,3,2020,4,2685,0-15
1,U001,200744019,TARG us,2020-04-08 08:29:10.562500000,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,60,,,,19,3,2020,3,4,2020,19,3,2020,19,2769,0-15
2,U001,200418007,AM ,2020-03-23 19:41:11.578125000,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,60,,,,11,3,2020,26,3,2020,11,3,2020,19,87,
3,U001,200739534,OK systems,2020-04-30 23:59:00.359375000,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,60,,,,15,4,2020,30,4,2020,15,4,2020,19,1987,0-15
4,U001,200353024,DECA corporation,2020-04-15 15:47:29.125000000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,60,,,,23,4,2020,26,4,2020,16,4,2020,34,728,
5,U001,200744019,TARG associates,2020-04-08 01:37:05.812500000,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,60,,,,21,3,2020,5,4,2020,21,3,2020,19,2760,0-15
6,CA02,140106408,WAL-M corp,2020-04-06 01:37:21.500000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64982.589,60,,,,6,3,2020,16,3,2020,6,3,2020,4,2956,16-30
7,U001,200337148,COAS llc,2020-03-18 15:51:58.468750000,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,60,,,,2,3,2020,17,3,2020,2,3,2020,19,565,0-15
8,U001,200794332,COST associates,2020-04-20 23:43:12.289062500,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,60,,,,7,4,2020,22,4,2020,7,4,2020,21,624,
9,U001,200794332,COST llc,2020-05-03 11:59:33.937500000,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,60,,,,23,4,2020,8,5,2020,23,4,2020,21,630,
10,U001,200803720,DEC corp,2020-03-27 16:44:21.125000000,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,60,,,,25,3,2020,8,4,2020,16,3,2020,36,716,
11,U001,200794332,COST co,2020-03-27 19:35:48.957031250,2020.0,1930647189.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAAX,32715.47,60,,,,13,3,2020,28,3,2020,13,3,2020,21,625,
12,U001,200020431,DEC us,2020-05-11 10:48:07.375000000,2020.0,1930861637.0,2020-05-06 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,174.72,60,,,,6,5,2020,24,5,2020,1,5,2020,36,723,
13,U001,200769623,WAL-MAR associates,2020-03-27 05:44:57.115234375,2020.0,1930635649.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAH4,767.78,60,,,,12,3,2020,27,3,2020,12,3,2020,32,2965,0-15
14,CA02,140105785,SHOPPE foundation,2020-04-18 08:50:07.375000000,2020.0,2960624627.0,2020-03-27 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,1980.7199999999998,60,,,,27,3,2020,10,4,2020,31,3,2020,4,2474,0-15
15,U001,200769623,WAL-MAR ,2020-03-15 03:46:49.843750000,2020.0,1930577078.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,14514.68,60,,,,28,2,2020,14,3,2020,28,2,2020,32,2964,0-15
16,U001,200769623,WAL-MAR foundation,2020-04-27 12:12:15.421875000,2020.0,1930774741.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAH4,55400.31,60,,,,10,4,2020,25,4,2020,10,4,2020,32,2969,0-15
